country,year,metier,fleet,stock,category,catch
SP,2016,MIS_0_0_0_HC,SP_MIS,MON,landings,4
PT,2017,MIS_0_0_0_HC,PT_MIS,MON,landings,78
SP,2017,MIS_0_0_0_HC,SP_MIS,MON,landings,1
PT,2014,CRU_55_0_0,PT_OTB,MON,landings,10
PT,2015,CRU_55_0_0,PT_OTB,MON,landings,11
PT,2016,CRU_55_0_0,PT_OTB,MON,landings,4
PT,2017,CRU_55_0_0,PT_OTB,MON,landings,15
PT,2014,DEF_65_0_0,PT_OTB,MON,landings,17
SP,2014,DEF_65_0_0,SP_OTB,MON,landings,600
PT,2015,DEF_65_0_0,PT_OTB,MON,landings,23
SP,2015,DEF_65_0_0,SP_OTB,MON,landings,403
PT,2016,DEF_65_0_0,PT_OTB,MON,landings,4
SP,2016,DEF_65_0_0,SP_OTB,MON,landings,472
PT,2017,DEF_65_0_0,PT_OTB,MON,landings,18
SP,2017,DEF_65_0_0,SP_OTB,MON,landings,312
SP,2014,MPD_55_0_0,SP_OTB,MON,landings,45
SP,2015,MPD_55_0_0,SP_OTB,MON,landings,64
SP,2016,MPD_55_0_0,SP_OTB,MON,landings,85
SP,2017,MPD_55_0_0,SP_OTB,MON,landings,45
SP,2014,MCD_55_0_0,SP_OTB_24m,MON,landings,11
SP,2015,MCD_55_0_0,SP_OTB_24m,MON,landings,26
SP,2016,MCD_55_0_0,SP_OTB_24m,MON,landings,12
SP,2017,MCD_55_0_0,SP_OTB_24m,MON,landings,33
OTH,2014,OTH,OTH_OTH,MON,landings,34
OTH,2015,OTH,OTH_OTH,MON,landings,23
OTH,2016,OTH,OTH_OTH,MON,landings,18
OTH,2017,OTH,OTH_OTH,MON,landings,53
SP,2015,MPD_55_0_0,SP_PTB,MON,landings,28
SP,2016,MPD_55_0_0,SP_PTB,MON,landings,29
SP,2017,MPD_55_0_0,SP_PTB,MON,landings,5
SP,2014,MPD_55_0_0,SP_OTB,MEG,discards,NA
SP,2015,MPD_55_0_0,SP_OTB,MEG,discards,NA
SP,2016,MPD_55_0_0,SP_OTB,MEG,discards,NA
SP,2014,DEF_0_0_0,SP_LLS,LDB,landings,NA
SP,2015,DEF_0_0_0,SP_LLS,LDB,landings,NA
SP,2017,DEF_0_0_0,SP_LLS,LDB,landings,NA
OTH,2014,OTH,OTH_OTH,LDB,landings,NA
OTH,2015,OTH,OTH_OTH,LDB,landings,NA
OTH,2016,OTH,OTH_OTH,LDB,landings,NA
OTH,2014,OTH,OTH_OTH,MEG,landings,NA
OTH,2015,OTH,OTH_OTH,MEG,landings,NA
OTH,2016,OTH,OTH_OTH,MEG,landings,NA
SP,2014,MPD_55_0_0,SP_PTB,LDB,discards,NA
SP,2015,MPD_55_0_0,SP_PTB,LDB,discards,NA
SP,2014,MPD_55_0_0,SP_PTB,MEG,discards,NA
SP,2015,MPD_55_0_0,SP_PTB,MEG,discards,NA
SP,2014,DEF_100_0_0,SP_GNS,LDB,landings,NA
SP,2017,DEF_100_0_0,SP_GNS,LDB,landings,NA
SP,2014,MIS_0_0_0_HC,SP_MIS,LDB,landings,NA
SP,2017,MIS_0_0_0_HC,SP_MIS,LDB,landings,NA
SP,2014,DEF_100_0_0,SP_GNS,MEG,landings,NA
SP,2017,DEF_100_0_0,SP_GNS,MEG,landings,NA
SP,2014,MCD_55_0_0,SP_OTB_24m,MEG,landings,NA
SP,2016,MCD_55_0_0,SP_OTB_24m,MEG,landings,NA
SP,2014,MIS_0_0_0_HC,SP_MIS,MEG,landings,NA
SP,2017,MIS_0_0_0_HC,SP_MIS,MEG,landings,NA
PT,2014,CRU_55_0_0,PT_OTB,HKE,discards,NA
PT,2014,DEF_65_0_0,PT_OTB,HKE,discards,NA
SP,2014,DEF_65_0_0,SP_OTB,LDB,discards,NA
SP,2014,MPD_55_0_0,SP_OTB,LDB,discards,NA
SP,2014,DEF_65_0_0,SP_OTB,MEG,discards,NA
SP,2014,DEF_100_0_0,SP_GNS,HKE,landings,NA
SP,2014,DEF_60_79_0_0,SP_GTR,HKE,landings,NA
SP,2014,DEF_65_0_0,SP_OTB,LDB,landings,NA
SP,2014,DEF_60_79_0_0,SP_GNS,LDB,landings,NA
SP,2014,DEF_60_79_0_0,SP_GTR,LDB,landings,NA
SP,2014,DEF_80_99_0_0,SP_GNS,LDB,landings,NA
SP,2014,MCD_55_0_0,SP_OTB_24m,LDB,landings,NA
SP,2014,MPD_55_0_0,SP_OTB,LDB,landings,NA
SP,2014,MPD_55_0_0,SP_PTB,LDB,landings,NA
SP,2014,DEF_65_0_0,SP_OTB,MEG,landings,NA
SP,2014,DEF_60_79_0_0,SP_GNS,MEG,landings,NA
SP,2014,DEF_60_79_0_0,SP_GTR,MEG,landings,NA
SP,2014,DEF_80_99_0_0,SP_GNS,MEG,landings,NA
SP,2014,MPD_55_0_0,SP_OTB,MEG,landings,NA
SP,2014,MPD_55_0_0,SP_PTB,MEG,landings,NA
SP,2014,DEF_0_0_0,SP_LLS,MON,landings,NA
SP,2014,DEF_60_79_0_0,SP_GNS,MON,landings,NA
SP,2014,DEF_80_99_0_0,SP_GNS,MON,landings,NA
SP,2014,MPD_55_0_0,SP_PTB,MON,landings,NA
